nombre,area,jerarquia,puntaje,cantidad_proyectos,desempenio,personas_equipo,horas_extra,asistencia_puntualidad,desempenio_futuro
Empleado 462,atencion al cliente,trainee,73,5,medio,9,11,75,0
Empleado 463,reposicion,trainee,51,3,medio,26,5,52,0
Empleado 464,caja,trainee,95,2,medio,13,14,96,2
Empleado 465,deposito,junior,91,1,medio,20,12,97,2
Empleado 466,administracion,junior,98,2,medio,7,4,44,0
Empleado 467,reposicion,junior,40,1,alto,18,8,49,0
Empleado 468,logistica,junior,36,4,medio,11,7,83,1
Empleado 469,atencion al cliente,junior,49,1,alto,10,18,66,0
Empleado 470,administracion,junior,36,4,medio,18,13,65,0
Empleado 471,caja,senior,50,3,medio,7,20,63,0
Empleado 472,reposicion,trainee,50,4,bajo,25,13,58,0
Empleado 473,atencion al cliente,trainee,51,2,medio,8,3,99,0
Empleado 474,reposicion,senior,94,3,medio,23,17,87,2
Empleado 475,logistica,senior,88,2,medio,26,15,98,2
Empleado 476,administracion,senior,72,1,medio,14,3,44,0
Empleado 477,reposicion,senior,55,4,medio,25,19,79,0
Empleado 478,atencion al cliente,junior,45,2,alto,28,17,61,0
Empleado 479,administracion,senior,38,2,medio,5,9,78,0
Empleado 480,caja,junior,47,5,medio,30,9,84,1
Empleado 481,administracion,senior,95,1,alto,3,9,90,1
Empleado 482,logistica,senior,77,5,alto,13,7,47,0
Empleado 483,logistica,senior,43,2,medio,9,2,100,0
Empleado 484,reposicion,junior,39,3,bajo,26,4,62,0
Empleado 485,deposito,junior,90,3,medio,12,17,59,2
Empleado 486,logistica,junior,81,3,bajo,25,2,80,1
Empleado 487,atencion al cliente,junior,90,3,medio,22,10,87,1
Empleado 488,deposito,trainee,39,2,alto,7,13,63,0
Empleado 489,administracion,senior,56,1,bajo,4,10,79,0
Empleado 490,ventas,junior,51,2,alto,21,15,78,0
Empleado 491,atencion al cliente,junior,39,5,medio,16,10,44,0
Empleado 492,atencion al cliente,senior,38,5,alto,16,19,74,0
Empleado 493,ventas,trainee,41,3,alto,25,7,84,0
Empleado 494,caja,senior,45,5,medio,24,15,54,0
Empleado 495,caja,trainee,54,3,alto,16,8,55,0
Empleado 496,logistica,senior,79,2,medio,22,5,64,0
Empleado 497,reposicion,senior,58,2,medio,2,18,93,0
Empleado 498,reposicion,trainee,81,4,medio,21,13,80,1
Empleado 499,logistica,trainee,93,2,medio,7,0,46,0
Empleado 500,atencion al cliente,senior,69,2,alto,19,9,96,2
Empleado 501,administracion,junior,53,1,medio,12,12,88,1
Empleado 502,atencion al cliente,senior,30,4,bajo,23,8,47,0
Empleado 503,atencion al cliente,senior,67,3,alto,15,6,78,0
Empleado 504,reposicion,trainee,45,4,bajo,21,16,60,0
Empleado 505,reposicion,junior,61,2,medio,8,10,80,1
Empleado 506,ventas,senior,91,3,medio,18,8,83,2
Empleado 507,caja,trainee,93,1,alto,28,13,65,0
Empleado 508,administracion,trainee,36,1,medio,21,15,51,0
Empleado 509,administracion,trainee,55,1,medio,20,20,76,0
Empleado 510,logistica,trainee,97,1,alto,9,11,57,0
Empleado 511,atencion al cliente,senior,45,3,medio,25,0,51,0
Empleado 512,reposicion,junior,30,5,alto,8,5,52,0
Empleado 513,atencion al cliente,junior,58,3,bajo,16,11,88,1
Empleado 514,logistica,trainee,68,5,alto,25,12,66,0
Empleado 515,logistica,senior,76,2,medio,23,1,49,0
Empleado 516,ventas,junior,93,1,medio,23,3,82,0
Empleado 517,administracion,junior,76,3,medio,8,13,76,1
Empleado 518,logistica,senior,41,4,alto,6,5,69,0
Empleado 519,caja,junior,42,5,bajo,9,9,98,0
Empleado 520,administracion,trainee,77,3,medio,30,1,48,0
Empleado 521,caja,junior,49,4,medio,15,5,65,0
Empleado 522,reposicion,senior,97,2,alto,10,6,63,2
Empleado 523,administracion,trainee,35,2,medio,9,18,68,0
Empleado 524,atencion al cliente,junior,78,2,medio,6,9,93,1
Empleado 525,administracion,junior,44,4,medio,17,8,74,0
Empleado 526,administracion,junior,61,3,medio,5,11,69,1
Empleado 527,administracion,junior,50,5,bajo,26,8,47,0
Empleado 528,administracion,junior,58,2,bajo,11,1,75,0
Empleado 529,caja,senior,90,1,medio,9,0,95,2
Empleado 530,reposicion,senior,34,1,alto,13,1,99,0
Empleado 531,administracion,junior,39,2,medio,7,8,65,0
Empleado 532,administracion,trainee,71,1,medio,14,11,80,1
Empleado 533,caja,trainee,61,3,alto,2,5,48,0
Empleado 534,administracion,senior,42,3,medio,21,4,58,0
Empleado 535,reposicion,junior,78,2,medio,10,14,52,1
Empleado 536,administracion,trainee,86,5,alto,15,3,93,0
Empleado 537,atencion al cliente,senior,96,2,medio,26,8,87,2
Empleado 538,caja,trainee,94,2,medio,24,3,75,0
Empleado 539,logistica,junior,75,2,medio,28,17,89,1
Empleado 540,atencion al cliente,junior,39,3,medio,15,12,70,0
Empleado 541,atencion al cliente,trainee,39,1,alto,8,9,55,0
Empleado 542,caja,trainee,95,4,medio,14,0,65,0
Empleado 543,reposicion,junior,47,2,bajo,4,17,88,1
Empleado 544,ventas,junior,97,5,medio,24,12,90,1
Empleado 545,atencion al cliente,senior,66,5,medio,24,6,77,0
Empleado 546,logistica,trainee,36,3,alto,27,6,97,0
Empleado 547,caja,trainee,47,3,medio,20,8,63,0
Empleado 548,caja,junior,40,5,medio,22,11,97,0
Empleado 549,ventas,senior,82,1,medio,10,1,62,0
Empleado 550,caja,senior,31,2,medio,7,18,94,0
Empleado 551,caja,junior,94,2,bajo,23,5,58,0
Empleado 552,ventas,junior,71,3,bajo,30,0,82,1
Empleado 553,logistica,trainee,61,3,medio,16,15,69,0
Empleado 554,caja,senior,86,1,medio,2,7,50,0
Empleado 555,atencion al cliente,junior,52,4,alto,29,8,40,0
Empleado 556,logistica,senior,30,3,bajo,18,0,95,0
Empleado 557,ventas,trainee,72,4,alto,12,1,90,0
Empleado 558,logistica,trainee,49,4,alto,27,17,100,0
Empleado 559,logistica,junior,69,2,medio,21,10,78,1
Empleado 560,deposito,trainee,82,1,alto,21,16,60,0
Empleado 561,administracion,senior,37,2,bajo,24,0,42,0
Empleado 562,deposito,junior,66,1,alto,28,9,66,1
Empleado 563,reposicion,junior,61,3,medio,25,0,88,1
Empleado 564,logistica,trainee,62,1,alto,22,9,74,0
Empleado 565,caja,junior,99,5,alto,14,2,51,0
Empleado 566,reposicion,junior,77,3,medio,23,3,59,0
Empleado 567,deposito,trainee,37,5,medio,30,7,44,0
Empleado 568,caja,junior,59,5,medio,17,6,88,1
Empleado 569,caja,junior,62,5,medio,28,1,76,1
Empleado 570,reposicion,junior,39,1,medio,8,12,66,0
Empleado 571,reposicion,trainee,85,1,medio,16,5,81,1
Empleado 572,logistica,junior,70,2,bajo,18,15,51,1
Empleado 573,administracion,junior,86,1,medio,4,20,43,0
Empleado 574,ventas,senior,49,1,bajo,5,10,55,0
Empleado 575,caja,junior,93,4,medio,20,5,51,0
Empleado 576,administracion,senior,83,3,alto,5,0,48,0
Empleado 577,ventas,senior,99,3,alto,14,13,47,2
Empleado 578,caja,junior,37,1,medio,23,0,74,0
Empleado 579,administracion,trainee,89,4,medio,2,8,97,0
Empleado 580,administracion,senior,56,2,bajo,24,7,64,0
Empleado 581,ventas,junior,82,1,bajo,10,11,68,1
Empleado 582,deposito,trainee,44,4,alto,6,10,85,0
Empleado 583,caja,senior,68,1,medio,5,15,88,1
Empleado 584,ventas,junior,75,5,bajo,27,20,49,0
Empleado 585,logistica,senior,42,5,alto,19,7,99,2
Empleado 586,logistica,junior,99,3,medio,9,16,95,2
Empleado 587,logistica,junior,89,3,medio,27,15,63,0
Empleado 588,ventas,junior,72,4,bajo,3,12,40,1
Empleado 589,reposicion,senior,41,1,alto,3,15,64,0
Empleado 590,administracion,senior,69,3,alto,25,14,66,0
Empleado 591,caja,junior,98,5,bajo,30,2,93,0
Empleado 592,logistica,senior,75,1,medio,15,15,76,0
Empleado 593,caja,trainee,96,2,medio,29,7,51,0
Empleado 594,deposito,trainee,70,4,medio,10,17,47,0
Empleado 595,atencion al cliente,senior,58,4,bajo,5,7,68,0
Empleado 596,deposito,junior,31,2,medio,24,7,41,0
Empleado 597,administracion,senior,89,2,alto,22,20,45,2
Empleado 598,atencion al cliente,trainee,31,4,bajo,27,20,83,0
Empleado 599,administracion,senior,99,2,alto,7,17,83,2
Empleado 600,deposito,senior,76,5,alto,4,19,48,0
Empleado 601,caja,junior,62,5,medio,20,6,41,1
Empleado 602,ventas,senior,42,3,alto,7,19,91,0
Empleado 603,reposicion,senior,53,3,alto,22,17,99,2
Empleado 604,atencion al cliente,senior,39,2,alto,11,6,86,0
Empleado 605,administracion,junior,52,5,alto,21,7,87,1
Empleado 606,deposito,trainee,70,3,bajo,13,3,79,0
Empleado 607,administracion,junior,99,3,alto,11,8,61,0
Empleado 608,atencion al cliente,trainee,40,3,alto,6,6,53,0
Empleado 609,reposicion,trainee,56,2,medio,15,0,83,0
Empleado 610,logistica,junior,44,5,medio,29,8,62,0
Empleado 611,reposicion,junior,76,1,medio,21,3,72,0
Empleado 612,reposicion,senior,30,4,medio,15,3,72,0
Empleado 613,reposicion,junior,39,4,alto,12,13,72,0
Empleado 614,atencion al cliente,senior,86,2,alto,15,18,81,2
Empleado 615,deposito,senior,63,5,medio,9,11,49,0
Empleado 616,reposicion,senior,54,4,alto,21,14,42,0
Empleado 617,caja,trainee,55,4,alto,6,8,69,0
Empleado 618,ventas,junior,78,1,medio,2,4,88,0
Empleado 619,administracion,senior,53,2,medio,27,16,88,2
Empleado 620,deposito,senior,84,2,bajo,23,10,98,2
Empleado 621,logistica,senior,64,3,medio,6,18,100,2
Empleado 622,ventas,senior,44,4,alto,23,10,70,0
Empleado 623,atencion al cliente,junior,97,2,alto,12,20,66,2
Empleado 624,ventas,junior,36,5,medio,3,1,52,0
Empleado 625,reposicion,senior,44,4,alto,17,4,41,0
Empleado 626,caja,senior,35,3,medio,30,3,66,0
Empleado 627,ventas,junior,44,3,alto,5,12,47,0
Empleado 628,caja,junior,40,5,bajo,4,0,49,0
Empleado 629,ventas,junior,50,4,bajo,21,8,47,0
Empleado 630,caja,senior,80,3,medio,27,5,65,0
Empleado 631,reposicion,trainee,35,3,alto,19,19,67,0
Empleado 632,reposicion,junior,44,4,alto,12,6,92,1
Empleado 633,caja,junior,79,3,medio,11,5,78,1
Empleado 634,administracion,junior,50,3,medio,12,1,59,0
Empleado 635,deposito,trainee,78,2,medio,28,2,66,0
Empleado 636,ventas,senior,75,1,medio,8,19,62,0
Empleado 637,atencion al cliente,junior,96,4,bajo,11,8,89,1
Empleado 638,logistica,junior,37,2,alto,29,5,89,1
Empleado 639,atencion al cliente,junior,91,3,medio,14,12,80,1
Empleado 640,logistica,trainee,34,2,alto,30,3,86,0
Empleado 641,deposito,senior,56,5,bajo,27,4,100,0
Empleado 642,deposito,junior,58,4,medio,27,20,74,0
Empleado 643,reposicion,junior,52,2,bajo,15,11,69,0
Empleado 644,deposito,junior,74,2,alto,29,19,55,0
Empleado 645,ventas,junior,70,1,alto,19,0,78,0
Empleado 646,ventas,junior,57,4,medio,15,17,77,0
Empleado 647,reposicion,junior,99,5,medio,15,6,90,1
Empleado 648,administracion,senior,95,5,alto,12,16,68,2
Empleado 649,deposito,trainee,57,1,bajo,17,1,42,0
Empleado 650,reposicion,trainee,74,3,medio,9,16,50,0
Empleado 651,administracion,junior,92,4,bajo,2,2,93,0
Empleado 652,logistica,trainee,89,2,medio,2,19,87,0
Empleado 653,administracion,senior,53,2,medio,21,0,43,0
Empleado 654,atencion al cliente,senior,73,5,medio,8,11,75,1
Empleado 655,deposito,senior,35,1,medio,13,14,53,0
Empleado 656,atencion al cliente,junior,83,1,bajo,30,6,55,1
Empleado 657,logistica,trainee,37,3,bajo,15,15,56,0
Empleado 658,administracion,senior,46,2,bajo,11,13,81,0
Empleado 659,logistica,junior,93,1,alto,15,14,42,0
Empleado 660,caja,trainee,89,3,medio,22,12,41,0
Empleado 661,deposito,senior,37,2,bajo,14,13,80,0
Empleado 662,deposito,senior,41,3,bajo,30,18,44,0
Empleado 663,logistica,senior,52,3,alto,20,3,76,0
Empleado 664,deposito,senior,68,2,medio,23,19,88,2
Empleado 665,deposito,junior,90,3,bajo,28,7,84,1
Empleado 666,deposito,junior,79,4,medio,19,15,46,1
Empleado 667,ventas,senior,40,1,medio,7,6,52,0
Empleado 668,reposicion,junior,59,1,bajo,20,12,97,0
Empleado 669,administracion,senior,91,5,bajo,19,8,57,2
Empleado 670,deposito,junior,48,3,medio,29,0,95,0
Empleado 671,ventas,senior,38,2,bajo,3,11,85,1
Empleado 672,ventas,trainee,70,5,alto,9,11,45,0
Empleado 673,ventas,senior,97,5,bajo,19,3,72,0
Empleado 674,logistica,junior,58,1,alto,26,14,81,1
Empleado 675,deposito,trainee,90,1,medio,26,14,89,0
Empleado 676,ventas,senior,88,5,alto,22,2,84,2
Empleado 677,logistica,senior,36,5,alto,27,16,46,0
Empleado 678,administracion,senior,56,4,bajo,17,11,79,0
Empleado 679,deposito,senior,73,2,alto,24,19,92,2
Empleado 680,caja,trainee,58,1,medio,30,2,72,0
Empleado 681,logistica,senior,97,1,medio,5,13,40,0
Empleado 682,deposito,trainee,56,2,alto,18,3,99,0
Empleado 683,atencion al cliente,junior,43,4,medio,25,16,94,0
Empleado 684,caja,trainee,94,2,medio,21,6,70,0
Empleado 685,logistica,senior,74,1,medio,6,9,48,1
Empleado 686,ventas,trainee,41,3,medio,20,4,59,0
Empleado 687,logistica,junior,43,2,alto,26,11,43,0
Empleado 688,logistica,trainee,78,5,medio,3,14,85,1
Empleado 689,atencion al cliente,junior,65,2,alto,7,0,45,0
Empleado 690,atencion al cliente,junior,83,2,medio,21,5,94,1
Empleado 691,logistica,senior,49,4,alto,20,5,50,0
Empleado 692,atencion al cliente,trainee,91,1,alto,17,12,77,0
Empleado 693,administracion,trainee,87,5,alto,4,8,62,0
Empleado 694,deposito,trainee,54,1,bajo,15,0,62,0
Empleado 695,ventas,junior,31,3,medio,28,8,87,1
Empleado 696,administracion,trainee,52,5,medio,12,14,45,0
Empleado 697,atencion al cliente,junior,37,4,bajo,30,20,92,0
Empleado 698,deposito,trainee,47,4,alto,4,10,83,0
Empleado 699,ventas,junior,30,3,alto,30,2,65,0
Empleado 700,reposicion,trainee,99,5,alto,19,4,50,0
Empleado 701,ventas,junior,47,3,bajo,29,13,65,0
Empleado 702,atencion al cliente,junior,40,2,alto,24,4,44,0
Empleado 703,reposicion,trainee,96,5,alto,26,8,42,0
Empleado 704,administracion,junior,64,4,medio,6,14,45,1
Empleado 705,logistica,senior,75,5,bajo,19,7,42,0
Empleado 706,caja,trainee,65,4,alto,5,20,68,0
Empleado 707,reposicion,senior,33,4,alto,10,16,70,0
Empleado 708,caja,junior,49,1,alto,6,14,49,0
Empleado 709,reposicion,junior,90,3,medio,27,9,57,0
Empleado 710,logistica,trainee,38,5,medio,27,20,87,0
Empleado 711,atencion al cliente,junior,42,4,alto,26,15,79,0
Empleado 712,caja,trainee,94,3,alto,20,12,40,0
Empleado 713,ventas,trainee,71,4,alto,6,10,82,1
Empleado 714,administracion,junior,78,1,medio,20,10,61,1
Empleado 715,reposicion,senior,89,5,alto,15,1,53,0
Empleado 716,caja,trainee,43,3,medio,3,8,61,0
Empleado 717,caja,trainee,57,5,medio,8,13,79,0
Empleado 718,caja,junior,76,2,alto,13,3,81,1
Empleado 719,reposicion,trainee,97,4,bajo,3,10,95,1
Empleado 720,deposito,junior,47,5,medio,16,12,61,0
Empleado 721,atencion al cliente,senior,94,5,medio,11,20,67,2
Empleado 722,administracion,junior,78,1,bajo,12,8,97,1
Empleado 723,administracion,senior,80,5,medio,27,6,41,0
Empleado 724,deposito,junior,95,1,alto,8,6,52,1
Empleado 725,ventas,junior,62,3,medio,2,7,88,1
Empleado 726,administracion,junior,59,1,medio,8,7,89,1
Empleado 727,reposicion,trainee,35,5,alto,2,2,42,0
Empleado 728,ventas,trainee,92,3,bajo,19,6,48,0
Empleado 729,administracion,senior,78,4,medio,14,19,85,2
Empleado 730,atencion al cliente,junior,85,4,medio,23,13,98,1
Empleado 731,caja,senior,81,1,medio,22,2,61,0
Empleado 732,reposicion,junior,40,2,alto,22,3,43,0
Empleado 733,administracion,trainee,66,5,alto,13,8,56,0
Empleado 734,deposito,junior,58,4,bajo,28,2,59,0
Empleado 735,atencion al cliente,trainee,87,1,bajo,25,3,41,0
Empleado 736,ventas,junior,64,5,medio,26,9,46,1
Empleado 737,ventas,senior,42,2,medio,5,4,88,0
Empleado 738,deposito,trainee,80,4,bajo,28,17,65,0
Empleado 739,reposicion,junior,79,4,bajo,28,20,63,0
Empleado 740,reposicion,trainee,71,4,medio,26,2,41,0
Empleado 741,atencion al cliente,trainee,68,2,alto,24,15,95,1
Empleado 742,atencion al cliente,trainee,51,1,bajo,7,8,57,0
Empleado 743,atencion al cliente,junior,86,5,medio,26,2,56,0
Empleado 744,ventas,junior,77,4,medio,27,11,57,1
Empleado 745,reposicion,trainee,32,2,medio,14,9,56,0
Empleado 746,logistica,trainee,87,3,alto,28,7,80,0
Empleado 747,deposito,junior,34,1,bajo,11,20,59,0
Empleado 748,ventas,senior,81,5,medio,29,16,63,2
Empleado 749,caja,junior,38,4,alto,11,4,62,0
Empleado 750,caja,senior,72,2,bajo,10,7,74,0
Empleado 751,deposito,senior,93,3,medio,25,15,91,2
Empleado 752,administracion,senior,45,1,medio,9,5,96,2
Empleado 753,ventas,junior,47,1,medio,20,5,76,0
Empleado 754,atencion al cliente,junior,95,4,alto,30,11,85,1
Empleado 755,ventas,junior,83,3,alto,13,6,56,1
Empleado 756,logistica,trainee,82,1,alto,24,20,92,0
Empleado 757,administracion,senior,37,4,medio,22,12,90,0
Empleado 758,administracion,senior,31,5,alto,16,4,53,0
Empleado 759,administracion,senior,81,2,bajo,24,12,83,1
Empleado 760,administracion,junior,88,3,alto,26,14,76,0
Empleado 761,caja,trainee,68,5,alto,16,10,76,0
Empleado 762,ventas,senior,91,4,alto,6,2,85,0
Empleado 763,administracion,junior,84,5,alto,15,12,88,1
Empleado 764,atencion al cliente,junior,91,4,bajo,30,2,83,0
Empleado 765,ventas,senior,64,5,medio,23,12,60,0
Empleado 766,deposito,junior,88,4,bajo,20,5,46,0
Empleado 767,logistica,junior,63,5,medio,30,13,93,1
Empleado 768,caja,trainee,94,2,bajo,9,11,76,0
Empleado 769,deposito,senior,73,1,bajo,25,15,72,0
Empleado 770,logistica,senior,69,5,alto,4,10,76,1
Empleado 771,administracion,trainee,98,2,alto,21,5,84,0
Empleado 772,caja,junior,47,2,medio,29,15,43,0
Empleado 773,atencion al cliente,junior,85,4,alto,10,7,84,1
Empleado 774,logistica,senior,63,3,bajo,16,6,80,1
Empleado 775,deposito,junior,71,2,medio,10,8,70,1
Empleado 776,deposito,senior,62,2,medio,16,6,42,0
Empleado 777,ventas,trainee,95,3,alto,29,0,93,0
Empleado 778,reposicion,trainee,55,1,alto,13,4,43,0
Empleado 779,reposicion,junior,50,2,alto,16,4,87,0
Empleado 780,administracion,trainee,85,3,bajo,30,1,66,0
Empleado 781,logistica,junior,68,5,alto,18,12,76,1
Empleado 782,logistica,trainee,97,4,bajo,13,15,95,0
Empleado 783,caja,junior,38,4,medio,19,17,48,0
Empleado 784,atencion al cliente,junior,34,2,medio,29,15,42,0
Empleado 785,ventas,senior,41,5,medio,4,5,96,0
Empleado 786,deposito,trainee,75,1,medio,30,3,100,0
Empleado 787,ventas,junior,77,4,alto,28,6,44,1
Empleado 788,reposicion,senior,93,4,alto,14,16,81,2
Empleado 789,reposicion,junior,65,5,medio,14,4,66,0
Empleado 790,caja,junior,74,5,alto,17,11,76,1
Empleado 791,deposito,senior,81,1,alto,10,2,70,0
Empleado 792,atencion al cliente,senior,69,5,alto,6,3,92,1
Empleado 793,deposito,trainee,68,3,medio,22,2,61,0
Empleado 794,reposicion,trainee,95,2,alto,26,1,82,0
Empleado 795,deposito,senior,39,5,alto,22,12,78,0
Empleado 796,administracion,senior,33,1,medio,3,14,60,0
Empleado 797,caja,senior,81,5,alto,9,14,54,0
Empleado 798,logistica,trainee,65,4,bajo,28,17,45,0
Empleado 799,atencion al cliente,junior,35,3,medio,20,2,44,0
Empleado 800,atencion al cliente,senior,48,3,alto,7,7,88,1
Empleado 801,reposicion,junior,85,3,bajo,21,4,53,0
Empleado 802,deposito,trainee,63,3,bajo,27,20,69,0
Empleado 803,reposicion,trainee,77,4,medio,21,3,79,0
Empleado 804,atencion al cliente,junior,58,4,medio,23,4,81,0
Empleado 805,administracion,senior,33,1,bajo,4,3,44,0
Empleado 806,caja,junior,50,5,medio,21,8,48,0
Empleado 807,deposito,junior,63,5,medio,9,6,86,1
Empleado 808,administracion,junior,35,1,medio,22,16,83,0
Empleado 809,deposito,senior,43,2,medio,20,20,81,2
Empleado 810,logistica,junior,57,5,alto,14,11,81,1
Empleado 811,reposicion,trainee,85,4,medio,18,14,62,0
Empleado 812,reposicion,trainee,79,1,alto,22,15,91,1
Empleado 813,ventas,senior,51,5,alto,9,19,43,0
Empleado 814,logistica,junior,88,4,bajo,24,9,97,2
Empleado 815,deposito,senior,77,1,bajo,7,10,100,1
Empleado 816,atencion al cliente,senior,62,2,alto,7,9,67,1
Empleado 817,caja,junior,57,2,medio,9,19,77,0
Empleado 818,caja,junior,75,3,medio,16,9,42,1
Empleado 819,ventas,junior,78,4,medio,20,6,78,1
Empleado 820,reposicion,senior,85,4,bajo,2,8,71,0
Empleado 821,deposito,trainee,80,1,bajo,18,6,78,0
Empleado 822,deposito,trainee,82,3,medio,17,8,64,0
Empleado 823,reposicion,junior,64,1,medio,28,15,42,1
Empleado 824,caja,junior,41,1,medio,9,12,75,0
Empleado 825,logistica,senior,63,4,alto,27,11,82,1
Empleado 826,atencion al cliente,senior,81,2,medio,18,1,84,0
Empleado 827,administracion,trainee,97,1,medio,14,0,66,0
Empleado 828,caja,junior,76,3,alto,21,4,43,0
Empleado 829,ventas,trainee,37,1,alto,14,16,73,0
Empleado 830,logistica,junior,47,1,alto,30,13,59,0
Empleado 831,atencion al cliente,senior,61,4,medio,16,10,40,0
Empleado 832,atencion al cliente,trainee,49,2,medio,15,13,80,0
Empleado 833,reposicion,senior,71,1,alto,30,2,50,0
Empleado 834,atencion al cliente,senior,80,4,bajo,8,13,45,1
Empleado 835,reposicion,trainee,69,3,medio,12,4,67,0
Empleado 836,logistica,senior,84,5,alto,7,1,98,0
Empleado 837,atencion al cliente,senior,52,1,alto,8,7,51,0
Empleado 838,deposito,senior,46,1,bajo,26,9,94,0
Empleado 839,atencion al cliente,trainee,99,2,medio,26,7,66,0
Empleado 840,ventas,senior,38,3,medio,21,15,63,0
Empleado 841,administracion,trainee,82,4,medio,24,20,45,0
Empleado 842,atencion al cliente,senior,96,1,medio,9,11,79,2
Empleado 843,reposicion,junior,73,4,alto,6,11,64,1
Empleado 844,atencion al cliente,senior,55,2,medio,25,3,52,0
Empleado 845,deposito,senior,88,1,alto,19,17,51,2
Empleado 846,deposito,junior,57,3,alto,21,8,50,0
Empleado 847,logistica,junior,36,1,medio,4,13,73,0
Empleado 848,logistica,senior,79,2,alto,17,2,74,0
Empleado 849,deposito,junior,67,5,medio,13,0,66,0
Empleado 850,ventas,trainee,72,2,alto,9,20,87,0
Empleado 851,ventas,trainee,69,3,alto,26,14,70,0
Empleado 852,atencion al cliente,junior,49,2,alto,16,16,68,0
Empleado 853,reposicion,senior,39,5,alto,11,1,78,0
Empleado 854,deposito,junior,44,1,medio,26,2,92,0
Empleado 855,logistica,senior,78,3,bajo,21,15,72,0
Empleado 856,reposicion,trainee,88,1,medio,26,7,84,0
Empleado 857,administracion,trainee,41,2,alto,3,20,77,0
Empleado 858,deposito,junior,93,5,alto,7,18,70,0
Empleado 859,deposito,trainee,44,4,medio,16,14,76,0
Empleado 860,caja,junior,94,3,alto,30,17,84,2
Empleado 861,atencion al cliente,senior,69,2,alto,12,20,55,2
Empleado 862,caja,senior,77,3,alto,11,3,83,0
Empleado 863,ventas,senior,71,2,alto,15,1,76,0
Empleado 864,logistica,junior,96,3,alto,12,8,83,1
Empleado 865,atencion al cliente,senior,42,1,bajo,24,11,97,2
Empleado 866,ventas,junior,52,5,medio,4,5,79,0
Empleado 867,deposito,junior,47,4,medio,9,10,71,0
Empleado 868,caja,trainee,48,3,alto,12,5,61,0
Empleado 869,deposito,trainee,84,2,medio,6,8,44,0
Empleado 870,reposicion,senior,32,4,medio,10,4,98,0
Empleado 871,administracion,junior,39,3,medio,2,12,61,0
Empleado 872,caja,junior,43,2,alto,19,15,85,1
Empleado 873,ventas,junior,32,5,medio,7,20,95,1
Empleado 874,caja,trainee,67,3,medio,17,15,69,0
Empleado 875,administracion,junior,64,5,alto,29,15,68,1
Empleado 876,logistica,senior,76,3,bajo,7,17,46,0
Empleado 877,atencion al cliente,senior,61,2,bajo,19,5,88,1
Empleado 878,administracion,junior,42,5,medio,14,3,75,0
Empleado 879,atencion al cliente,junior,33,3,medio,2,12,83,0
Empleado 880,administracion,junior,59,2,medio,3,4,93,0
Empleado 881,reposicion,trainee,45,5,alto,10,19,68,0
Empleado 882,reposicion,senior,88,5,medio,26,12,64,2
Empleado 883,logistica,senior,68,3,bajo,3,18,73,0
Empleado 884,reposicion,senior,39,4,alto,12,19,66,0
Empleado 885,deposito,trainee,71,2,medio,3,14,49,0
Empleado 886,logistica,trainee,30,4,bajo,4,16,88,0
Empleado 887,deposito,junior,90,3,bajo,16,9,82,1
Empleado 888,atencion al cliente,senior,91,2,medio,7,3,96,2
Empleado 889,deposito,trainee,83,1,alto,20,3,89,0
Empleado 890,administracion,trainee,48,3,alto,3,15,86,0
Empleado 891,ventas,junior,58,1,medio,21,1,46,0
Empleado 892,logistica,trainee,37,4,alto,3,11,80,0
Empleado 893,deposito,junior,94,1,bajo,27,11,69,0
Empleado 894,reposicion,junior,99,1,alto,25,3,62,0
Empleado 895,deposito,junior,54,3,alto,14,7,81,1
Empleado 896,reposicion,senior,65,1,medio,6,12,65,1
Empleado 897,administracion,senior,99,5,alto,12,7,72,2
Empleado 898,caja,junior,68,2,alto,20,15,56,1
Empleado 899,ventas,trainee,61,4,medio,14,13,79,0
Empleado 900,deposito,senior,66,1,medio,19,9,50,0
Empleado 901,administracion,trainee,57,3,medio,7,12,47,0
Empleado 902,caja,junior,95,5,medio,13,4,93,0
Empleado 903,logistica,senior,77,1,medio,10,11,85,1
Empleado 904,logistica,junior,76,3,medio,26,4,61,0
Empleado 905,deposito,junior,59,5,alto,24,2,73,0
Empleado 906,atencion al cliente,senior,68,4,alto,3,8,47,1
Empleado 907,deposito,senior,65,3,alto,23,3,46,0
Empleado 908,logistica,senior,94,5,bajo,12,1,55,0
Empleado 909,caja,senior,99,5,medio,26,17,92,2
Empleado 910,logistica,trainee,38,2,medio,5,11,93,0
Empleado 911,reposicion,trainee,82,1,alto,3,5,40,0
Empleado 912,reposicion,junior,35,2,medio,7,17,73,0
Empleado 913,atencion al cliente,junior,79,4,medio,12,16,79,0
Empleado 914,atencion al cliente,junior,51,3,medio,25,14,91,1
Empleado 915,ventas,trainee,51,4,medio,10,8,85,0
Empleado 916,administracion,trainee,79,5,bajo,13,10,52,0
Empleado 917,ventas,junior,45,1,bajo,30,15,54,0
Empleado 918,atencion al cliente,trainee,96,2,medio,24,14,88,0
Empleado 919,deposito,junior,36,4,medio,20,13,70,0
Empleado 920,administracion,senior,42,4,medio,17,10,45,0
Empleado 921,administracion,senior,34,1,medio,15,14,97,2
Empleado 922,reposicion,junior,48,3,medio,18,17,59,0
Empleado 923,logistica,senior,76,1,alto,5,1,73,0
Empleado 924,caja,trainee,52,1,medio,24,7,92,0
